;BAC;Fin;gen;graines;boite;grain;RANG;boite;rangOK;Debut;X;Y
1155;4;12;ELAX_185.sp;01:06;5;4;B;5;A;10;6;7
1124;4;18;ELAX_89.sp;01:06;3;4;B;3;B;4;7;7
1102;4;78;ELAX_38.sp;01:06;1;4;G;1;G;4;8;7
1099;4;60;ELAX_29.sp;01:06;1;4;F;1;E;10;9;7
1147;4;60;ELAX_153.sp;01:06;4;4;F;4;E;10;10;7
1203;4;12;ELAX_336.sp;01:06;8;4;B;8;A;10;11;7
1242;4;54;ELAX_441.sp;01:06;10;4;E;10;E;4;12;7
215;4;12;ELAX_85.sp;07:12;3Bis;1;B;3Bis;A;7;13;7
1132;4;66;ELAX_101.sp;01:06;3;4;F;3;F;4;14;7
1188;4;18;ELAX_278.sp;01:06;7;4;B;7;B;4;15;7
190;4;54;ELAX_28.sp;07:12;1Bis;1;E;1Bis;E;1;16;7
1160;4;42;ELAX_194.sp;01:06;5;4;D;5;D;4;1;8
1168;4;90;ELAX_212.sp;01:06;5;4;H;5;H;4;2;8
1269;4;24;GQAX_149.sp;01:06;12;4;C;12;B;10;3;8
1189;4;24;ELAX_279.sp;01:06;7;4;C;7;B;10;4;8
1243;4;60;ELAX_444.sp;01:06;10;4;F;10;E;10;5;8
1108;4;18;ELAX_59.sp;01:06;2;4;B;2;B;4;6;8
1118;4;78;GQAX_76.sp;01:06;2;4;G;2;G;4;7;8
1228;4;66;ELAX_399.sp;01:06;9;4;F;9;F;4;8;8
1123;4;12;ELAX_85.sp;01:06;3;4;B;3;A;10;9;8
1105;4;96;ELAX_41.sp;01:06;1;4;I;1;H;10;10;8
1219;4;12;ELAX_373.sp;01:06;9;4;B;9;A;10;11;8
1205;4;24;ELAX_344.sp;01:06;8;4;C;8;B;10;12;8
1156;4;18;ELAX_187.sp;01:06;5;4;B;5;B;4;13;8
1166;4;78;ELAX_202.sp;01:06;5;4;G;5;G;4;14;8
1215;4;84;ELAX_368.sp;01:06;8;4;H;8;G;10;15;8
1262;4;78;ELAX_489.sp;01:06;11;4;G;11;G;4;16;8
1268;4;18;GQAX_139.sp;01:06;12;4;B;12;B;4;1;9
1121;4;96;GQAX_82.sp;01:06;2;4;I;2;H;10;2;9
1238;4;30;ELAX_427.sp;01:06;10;4;C;10;C;4;3;9
332;4;42;ELAX_435.sp;07:12;10Bis;1;D;10Bis;D;1;4;9
1261;4;72;ELAX_488.sp;01:06;11;4;G;11;F;10;5;9
234;4;30;ELAX_131.sp;07:12;4Bis;1;C;4Bis;C;1;6;9
1117;4;72;GQAX_75.sp;01:06;2;4;G;2;F;10;7;9
1218;4;6;ELAX_372.sp;01:06;9;4;A;9;A;4;8;9
1175;4;36;ELAX_237.sp;01:06;6;4;D;6;C;10;9;9
1167;4;84;ELAX_207.sp;01:06;5;4;H;5;G;10;10;9
1220;4;18;ELAX_376.sp;01:06;9;4;B;9;B;4;11;9
1202;4;6;ELAX_335.sp;01:06;8;4;A;8;A;4;12;9
1264;4;90;GQAX_112.sp;01:06;11;4;H;11;H;4;13;9
1213;4;72;ELAX_366.sp;01:06;8;4;G;8;F;10;14;9
1125;4;24;GQAX_91.sp;01:06;3;4;C;3;B;10;15;9
217;4;24;GQAX_91.sp;07:12;3Bis;1;C;3Bis;B;7;16;9
1172;4;18;ELAX_230.sp;01:06;6;4;B;6;B;4;1;10
1190;4;30;ELAX_288.sp;01:06;7;4;C;7;C;4;2;10
1138;4;6;ELAX_120.sp;01:06;4;4;A;4;A;4;3;10
1227;4;60;ELAX_395.sp;01:06;9;4;F;9;E;10;4;10
1182;4;78;ELAX_251.sp;01:06;6;4;G;6;G;4;5;10
1165;4;72;ELAX_201.sp;01:06;5;4;G;5;F;10;6;10
1216;4;90;ELAX_370.sp;01:06;8;4;H;8;H;4;7;10
1164;4;66;ELAX_199.sp;01:06;5;4;F;5;F;4;8;10
1180;4;66;ELAX_244.sp;01:06;6;4;F;6;F;4;9;10
1171;4;12;ELAX_229.sp;01:06;6;4;B;6;A;10;10;10
303;4;60;ELAX_353.sp;07:12;8Bis;1;F;8Bis;E;7;11;10
223;4;60;ELAX_100.sp;07:12;3Bis;1;F;3Bis;E;7;12;10
1148;4;66;ELAX_165.sp;01:06;4;4;F;4;F;4;13;10
1141;4;24;ELAX_130.sp;01:06;4;4;C;4;B;10;14;10
1149;4;72;GQAX_166.sp;01:06;4;4;G;4;F;10;15;10
1093;4;24;ELAX_6.sp;01:06;1;4;C;1;B;10;16;10
1131;4;60;ELAX_100.sp;01:06;3;4;F;3;E;10;1;11
1162;4;54;ELAX_197.sp;01:06;5;4;E;5;E;4;2;11
